N,P,K,temperature,humidity,ph,rainfall,label
88.56,44.14,44.44,24.32,84.79,5.75,233.31,rice
87.33,43.92,45.58,23.77,86.94,6.11,227.76,rice
82.62,39.93,46.23,25.03,85.07,5.98,238.29,rice
75.46,43.44,47.45,24.52,84.6,6.06,231.21,rice
97.82,39.43,47.84,21.73,80.63,5.9,202.1,rice
98.76,48.32,38.9,24.49,83.33,5.99,217.65,rice
91.14,49.09,48.19,23.91,86.08,6.08,209.33,rice
82.83,42.65,47.5,23.21,88.89,5.86,197.53,rice
97.68,52.11,47.53,24.48,87.38,5.98,189.43,rice
84.68,49.76,37.78,23.54,85.42,5.95,243.09,rice
95.81,56.61,48.1,22.79,84.06,5.86,248.81,rice
84.33,44.65,48.75,22.66,84.51,5.69,197.94,rice
84.32,47.08,50.97,23.48,85.44,6.03,252.12,rice
98.93,46.37,39.95,24.55,85.64,6.2,224.25,rice
109.53,43.21,52.97,23.63,84.14,5.81,221.22,rice
104.23,49.08,48.44,20.73,86.18,6.09,211.25,rice
83.73,44.99,53.62,22.27,84.29,6.23,213.85,rice
86.36,45.49,38.79,23.76,82.98,6.15,225.08,rice
112.83,46.4,51.83,21.98,84.8,6.05,268.64,rice
73.19,49.95,47.96,25.29,86.19,6.01,211.96,rice
77.52,45.98,44.04,25.86,83.98,6.05,185.77,rice
86.05,46.31,49.12,25.19,84.93,5.81,236.45,rice
95.17,47.46,41.5,24.82,85.15,6.12,256.85,rice
96.09,46.43,55.76,23.78,84.51,6.02,262.07,rice
91.19,47.6,50.98,22.9,82.12,6.05,230.74,rice
83.92,49.36,48.04,22.34,85.86,5.97,187.92,rice
94.53,44.77,41.27,24.11,85.81,5.9,235.01,rice
100.15,41.44,46.9,23.5,88.78,5.69,242.38,rice
86.94,44.5,54.51,23.49,88.73,5.93,233.76,rice
85.09,41.55,45.31,23.17,85.34,5.65,275.06,rice
88.33,53.71,39.96,23.84,90.27,5.86,187.62,rice
84.53,47.36,48.47,25.01,84.57,5.73,214.12,rice
102.4,47.33,35.22,23.46,87.33,6.35,239.04,rice
93.09,38.8,40.78,23.55,85.84,6.1,213.04,rice
78.48,41.11,39.22,24.25,81.15,5.94,236.25,rice
105.22,45.36,50.01,23.03,83.76,5.89,263.18,rice
99.94,47.44,61.65,23.46,86.03,6.05,219.45,rice
113.16,52.53,38.0,23.03,85.71,6.13,191.29,rice
67.44,35.47,44.64,23.38,85.58,5.87,194.39,rice
69.77,46.65,46.85,24.66,86.32,5.97,258.73,rice
88.64,41.7,42.4,22.82,81.39,6.03,231.25,rice
86.38,41.43,46.86,25.5,85.06,5.92,210.21,rice
89.3,38.68,44.37,23.57,88.07,6.16,250.85,rice
82.87,48.35,39.3,23.86,85.7,5.87,274.98,rice
95.67,35.49,47.76,23.02,85.0,6.08,234.76,rice
69.61,39.21,48.86,25.02,88.17,6.3,173.61,rice
97.69,35.42,53.07,23.8,83.1,6.33,241.1,rice
71.09,46.47,41.34,23.63,84.22,6.23,189.42,rice
93.17,54.07,40.87,23.75,85.34,5.89,241.2,rice
90.97,40.28,53.81,24.42,84.72,5.89,205.39,rice
102.31,44.27,47.3,23.28,86.03,5.98,244.1,rice
88.17,49.15,48.36,23.36,83.57,5.84,206.48,rice
80.16,49.33,44.77,25.33,88.8,6.0,186.3,rice
86.19,44.62,37.56,23.21,85.48,5.92,205.79,rice
82.41,53.93,44.2,22.53,84.38,6.16,207.88,rice
94.82,48.64,48.75,25.13,84.08,6.19,205.18,rice
86.03,50.98,49.11,23.5,83.01,6.09,209.24,rice
80.76,41.76,46.23,21.03,85.6,6.03,210.39,rice
100.37,48.06,41.97,22.72,86.16,5.75,216.68,rice
83.69,45.35,46.06,23.54,86.89,6.04,217.13,rice
77.89,48.61,47.64,25.19,83.75,6.0,223.53,rice
89.12,45.05,36.43,24.46,86.09,6.19,281.24,rice
86.81,44.82,45.05,25.77,82.11,6.08,188.23,rice
64.18,34.9,38.09,24.75,83.55,5.96,195.91,rice
96.11,39.49,51.59,22.34,83.73,6.02,225.62,rice
104.25,45.6,38.96,22.85,84.05,6.12,234.59,rice
88.81,49.35,42.36,23.34,85.3,6.25,222.54,rice
86.49,39.77,48.43,22.81,85.57,5.68,251.08,rice
76.68,41.11,50.29,21.94,84.87,6.01,200.04,rice
103.43,52.49,35.14,21.81,86.35,5.78,215.28,rice
91.3,48.46,43.88,23.61,83.71,6.22,212.62,rice
93.4,42.44,45.53,23.3,84.73,5.83,244.91,rice
104.14,46.22,48.66,24.48,86.55,6.05,230.31,rice
98.64,45.34,40.13,23.53,81.85,6.0,235.33,rice
102.36,45.76,49.64,23.5,83.29,5.76,200.76,rice
76.34,48.17,43.96,24.17,85.12,6.17,251.5,rice
83.55,43.63,42.34,21.61,86.13,6.2,224.84,rice
85.07,50.45,33.28,23.71,85.24,5.9,259.79,rice
99.71,43.69,44.57,23.05,84.15,5.78,259.5,rice
100.28,48.99,39.53,25.93,88.3,6.03,202.39,rice
81.34,47.09,40.43,23.46,86.81,5.75,275.14,rice
105.67,38.81,37.93,23.17,83.28,5.96,160.47,rice
87.71,54.01,39.42,23.18,82.52,6.11,219.37,rice
109.41,46.03,43.14,24.14,84.16,5.78,232.55,rice
88.25,45.83,46.88,22.9,85.7,6.29,197.31,rice
107.37,43.79,41.17,26.33,85.26,6.23,245.44,rice
73.19,45.6,42.37,21.93,82.05,6.02,239.76,rice
93.91,43.47,41.01,22.35,84.07,5.83,219.92,rice
89.77,40.52,43.84,22.61,84.99,6.08,229.45,rice
94.72,36.74,43.11,23.82,86.07,5.73,228.98,rice
102.06,44.11,44.53,24.03,85.41,6.11,226.81,rice
91.52,41.09,44.15,24.96,84.66,5.97,212.71,rice
97.87,40.73,49.55,22.41,83.24,6.03,228.25,rice
92.98,50.31,42.94,24.02,83.48,6.21,240.81,rice
95.37,45.94,41.07,23.12,85.84,6.0,228.09,rice
76.4,45.91,41.54,22.24,84.74,5.69,242.46,rice
98.52,44.73,40.03,22.4,84.75,5.6,229.51,rice
96.64,43.44,42.53,23.71,85.58,6.18,225.46,rice
83.1,42.69,45.91,25.32,84.47,5.82,203.25,rice
69.04,46.65,38.19,22.06,81.71,5.81,239.21,rice
96.89,46.25,45.89,22.43,66.44,6.55,74.93,maize
97.02,54.38,47.5,22.03,60.21,6.62,71.54,maize
105.91,55.08,50.15,23.44,63.89,6.54,92.89,maize
123.88,58.36,39.39,29.25,61.0,6.33,69.17,maize
126.27,57.1,37.86,23.45,66.82,6.34,64.83,maize
102.75,52.82,45.11,22.13,67.45,6.21,60.57,maize
102.61,61.74,42.13,26.9,66.64,6.17,68.05,maize
112.43,49.11,56.87,21.35,67.27,6.69,74.09,maize
100.04,53.63,46.81,24.46,65.19,6.12,75.35,maize
103.27,44.08,41.51,20.61,66.96,6.79,90.49,maize
104.27,52.66,48.44,24.77,63.6,6.37,93.39,maize
108.93,52.57,45.6,23.97,61.59,6.35,65.28,maize
107.22,64.38,48.71,22.85,61.89,6.34,83.76,maize
104.38,62.25,38.13,22.52,70.81,6.0,84.9,maize
91.49,54.55,44.14,24.37,54.48,6.02,70.28,maize
110.37,50.53,43.9,21.02,63.66,6.23,77.03,maize
115.81,62.16,41.72,22.47,65.16,6.34,74.57,maize
94.38,56.86,40.42,21.41,59.71,6.63,73.83,maize
121.49,56.36,36.48,21.19,67.53,6.25,65.91,maize
108.21,54.12,39.94,22.46,63.41,5.88,79.19,maize
101.89,61.52,39.25,20.37,68.96,6.08,69.7,maize
115.97,53.35,36.72,23.31,64.35,6.66,79.91,maize
140.36,46.77,44.89,21.22,68.85,6.56,81.28,maize
102.23,51.27,34.85,25.85,66.69,6.35,82.78,maize
117.51,59.88,36.88,21.81,65.65,6.47,82.98,maize
99.91,55.64,56.03,24.15,67.9,6.4,81.4,maize
128.04,55.53,51.12,21.54,66.97,6.58,68.73,maize
120.98,51.62,40.97,23.0,71.44,6.46,82.8,maize
102.68,55.39,39.12,22.05,67.79,6.39,87.09,maize
107.98,54.01,51.38,21.92,59.93,6.66,78.45,maize
88.35,55.22,42.98,25.91,62.57,6.28,67.41,maize
99.46,51.5,37.82,21.28,59.64,6.1,62.0,maize
104.79,51.58,38.87,23.8,64.84,6.31,71.13,maize
125.93,56.2,47.38,18.69,62.82,5.97,71.45,maize
113.73,51.63,47.59,21.3,66.92,6.09,72.82,maize
114.2,57.68,44.36,26.23,63.62,6.31,52.0,maize
127.69,53.16,39.12,25.2,69.12,6.42,63.04,maize
114.19,51.89,39.15,24.74,57.89,6.51,78.83,maize
